MemTotal:        2030592 kB
MemFree:          534136 kB
MemAvailable:    1496588 kB
Buffers:          193384 kB
Cached:           821168 kB
SwapCached:         2220 kB
Active:           700336 kB
Inactive:         554692 kB
Active(anon):      42288 kB
Inactive(anon):   206124 kB
Active(file):     658048 kB
Inactive(file):   348568 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       8386556 kB
SwapFree:        8377184 kB
Dirty:                32 kB
Writeback:             0 kB
AnonPages:        238272 kB
Mapped:           104168 kB
Shmem:              7936 kB
Slab:             175656 kB
SReclaimable:     143716 kB
SUnreclaim:        31940 kB
KernelStack:        6608 kB
PageTables:         8792 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     9401852 kB
Committed_AS:    1312936 kB
VmallocTotal:   34359738367 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
HardwareCorrupted:     0 kB
AnonHugePages:    174080 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
DirectMap4k:       75648 kB
DirectMap2M:     2021376 kB
DirectMap1G:           0 kB
